rank,divisionRank,team,classification,conference,rating,wins,losses,ties,scheduleStrength
253,4,Wisconsin Whitewater,iii,Wisconsin,13.152792,2,0,0,-17.861168
254,21,Valdosta State,ii,Gulf South,12.917427,3,1,0,-4.075367
255,5,Endicott,iii,Commonwealth Coast,12.653228,3,0,0,-3.297885
256,92,Charleston Southern,fcs,OVC,12.496327,2,2,0,9.400117
257,22,Arkansas Monticello,ii,Great American,12.474916,0,3,0,23.357136
258,23,Findlay,ii,Great Midwest Athletic,12.437387,3,0,0,-14.907272
259,93,Long Island University,fcs,NEC,12.376723,0,4,0,31.807876
260,94,Southern,fcs,SWAC,12.347762,2,2,0,20.912713
261,95,Duquesne,fcs,NEC,12.075602,0,3,0,38.945176
262,96,Butler,fcs,Pioneer,12.061195,3,1,0,3.084636
263,24,Wingate,ii,South Atlantic,12.02943,1,3,0,7.862885
264,97,Houston Christian,fcs,Southland,11.94691,2,2,0,16.15918
265,98,Georgetown,fcs,Patriot,11.933509,0,2,0,30.807678
266,25,Western Oregon,ii,Lone Star,11.715242,2,1,0,2.961219
267,26,Emporia State,ii,Mid America,11.650507,4,0,0,-1.461229
268,99,Florida A&M,fcs,SWAC,11.48393,1,3,0,23.266038
269,100,Tennessee State,fcs,OVC,11.412335,1,3,0,27.957873
270,6,Trinity (CT),iii,NESCAC,11.386202,1,0,0,-11.062128
271,101,Mercyhurst,fcs,NEC,11.383078,1,3,0,25.040042
272,102,Merrimack,fcs,FCS Independents,11.292637,1,3,0,30.23842
273,103,Sacred Heart,fcs,Coastal Athletic,11.212618,0,3,0,23.006289
274,27,Minnesota Duluth,ii,Northern Sun,11.207389,3,1,0,4.695987
275,28,Newberry,ii,South Atlantic,10.87632,2,1,0,0.616419
276,29,Tiffin,ii,Great Midwest Athletic,10.828858,2,1,0,-6.274023
277,104,Norfolk State,fcs,MEAC,10.801607,2,2,0,17.60308
278,30,Kentucky State,ii,SIAC,10.467446,3,1,0,0.580791
279,31,Saginaw Valley State,ii,GLIAC,10.369623,2,2,0,4.062561
280,105,North Carolina Central,fcs,MEAC,10.270402,2,2,0,5.80578
281,106,Samford,fcs,Southern,10.23974,0,3,0,29.55475
282,107,Alcorn State,fcs,SWAC,10.234942,2,2,0,12.490019
283,32,Davenport,ii,GLIAC,10.082565,4,0,0,-5.407852
284,108,Bucknell,fcs,Patriot,9.961556,1,3,0,17.678693
285,1,St. Francis (IL),unknown,Independent,9.563912,0,1,0,39.78599
286,33,UT Permian Basin,ii,Lone Star,9.370441,2,1,0,-7.379521
287,7,Hope,iii,Michigan,9.305872,3,0,0,-13.311908
288,34,Lenoir Rhyne,ii,South Atlantic,9.241002,2,2,0,5.101677
289,109,Robert Morris,fcs,NEC,9.006784,2,1,0,7.124586
290,35,Ashland,ii,Great Midwest Athletic,8.802954,1,2,0,6.247431
291,110,Arkansas-Pine Bluff,fcs,SWAC,8.78714,2,2,0,10.375665
292,36,Hillsdale,ii,Great Midwest Athletic,8.779343,2,1,0,-6.600124
293,111,Texas Southern,fcs,SWAC,8.462396,1,2,0,21.49905
294,37,Augustana (SD),ii,Northern Sun,8.439459,3,1,0,0.33753
295,38,Slippery Rock,ii,Pennsylvania State Athletic,8.436461,3,0,0,-8.915832
296,39,Southern Arkansas,ii,Great American,8.366414,1,2,0,14.669802
297,40,UNC Pembroke,ii,Carolinas,8.318475,3,1,0,3.67113
298,8,Mary Hardin Baylor,iii,American Southwest,8.197116,2,1,0,-7.276374
299,2,Rocky Mountain,unknown,Independent,8.192185,1,0,0,-8.085737
300,112,Stonehill,fcs,NEC,8.107635,1,3,0,16.430311
301,41,Oklahoma Baptist,ii,Great American,7.563127,2,1,0,12.245512
302,113,Presbyterian,fcs,Pioneer,7.523407,1,2,0,13.941327
303,42,Truman State,ii,Great Lakes,7.306878,1,3,0,4.534753
304,114,Drake,fcs,Pioneer,7.146325,0,3,0,18.518258
305,43,Washburn,ii,Mid America,6.874638,2,1,1,11.050646
306,44,Mars Hill,ii,South Atlantic,6.833826,3,0,0,-3.78331
307,115,Wagner,fcs,NEC,6.804726,1,3,0,20.395337
308,45,Anderson (SC),ii,South Atlantic,6.754091,3,1,0,1.383985
309,46,Northern State,ii,Northern Sun,6.743429,3,1,0,-1.664724
310,116,Murray State,fcs,MVFC,6.592665,1,3,0,19.789119
311,117,Marist,fcs,Pioneer,6.491235,1,2,0,2.506007
312,47,Central Oklahoma,ii,Mid America,6.198859,1,2,0,2.953929
313,3,Georgetown College Kentucky,unknown,Independent,5.839116,0,1,0,12.061195
314,48,Colorado School of Mines,ii,Rocky Mountain,5.745676,1,2,1,6.710756
315,9,Bethel (MN),iii,Minnesota,5.490814,1,1,0,-0.589384
316,49,Michigan Tech,ii,GLIAC,5.445774,3,1,0,-1.610621
317,50,Benedict,ii,SIAC,5.003505,3,0,0,-6.122438
318,51,Virginia State,ii,CIAA,4.853858,3,1,0,-7.219332
319,52,Shepherd,ii,Pennsylvania State Athletic,4.560853,3,0,0,-8.034713
320,10,Wisconsin Platteville,iii,Wisconsin,4.520024,3,0,0,-24.637874
321,53,Wayne State (NE),ii,Northern Sun,4.462297,3,1,0,-6.241176
322,54,IU Pennsylvania,ii,Pennsylvania State Athletic,4.109168,3,0,0,-4.841945
323,11,Wisconsin River Falls,iii,Wisconsin,3.628359,3,0,0,-23.656087
324,12,Saint John's (MN),iii,Minnesota,3.360994,2,0,0,-14.342935
325,55,Angelo State,ii,Lone Star,3.329339,0,3,0,12.330915
326,118,Stetson,fcs,Pioneer,3.230743,1,3,0,22.708737
327,56,Texas A&M-Kingsville,ii,Lone Star,3.207864,1,2,0,6.459517
328,13,Wisconsin La Crosse,iii,Wisconsin,3.045635,1,2,0,-1.658295
329,57,Colorado Mesa,ii,Rocky Mountain,2.64167,2,2,0,5.411072
330,58,Johnson C. Smith,ii,CIAA,2.533099,3,1,0,-5.661567
331,59,Virginia Union,ii,CIAA,2.494448,3,1,0,-13.870129
332,14,Amherst,iii,NESCAC,2.385339,1,0,0,-12.864595
333,15,Brevard,iii,USA South,2.060354,2,0,0,-20.320855
334,60,Indianapolis,ii,Great Lakes,2.029825,1,3,0,-4.356298
335,16,Trinity (TX),iii,Southern Athletic,1.994823,3,0,0,-18.95629
336,119,North Carolina A&T,fcs,Coastal Athletic,1.754217,0,4,0,21.819488
337,120,Morehead State,fcs,Pioneer,1.29517,1,3,0,7.877043
338,17,Wisconsin Eau Claire,iii,Wisconsin,1.2384,3,0,0,-19.495787
339,121,New Haven,fcs,NEC,1.233451,1,3,0,17.46284
340,61,North Greenville,ii,Carolinas,1.233303,3,0,0,-4.474671
341,62,Fayetteville State,ii,CIAA,1.195253,2,2,0,1.938805
342,122,VMI,fcs,Southern,0.941559,0,4,0,22.632488
343,63,Catawba,ii,South Atlantic,0.782708,2,2,0,-6.529135
344,18,Williams,iii,NESCAC,0.63544,1,0,0,-16.714521
345,64,Minnesota St Moorhead,ii,Northern Sun,0.504594,2,2,0,-3.433949
346,65,Sioux Falls,ii,Northern Sun,0.329531,3,1,0,-10.50878
347,66,West Alabama,ii,Gulf South,0.202113,3,1,0,-0.889202
348,19,Mount St Joseph,iii,Heartland,0.042567,3,0,0,-24.96643
349,67,Southern Nazarene,ii,Great American,-0.057162,0,3,0,20.209271
350,4,Valley City State,unknown,Independent,-0.141532,0,1,0,-21.983246
351,68,Northwestern (OK),ii,Great American,-0.271296,0,3,0,19.277591
352,5,Webber International,unknown,Independent,-1.013009,0,1,0,3.230743
353,69,West Texas,ii,Lone Star,-1.159393,1,2,0,14.896074
354,123,Hampton,fcs,Coastal Athletic,-1.255154,1,3,0,14.072472
355,6,Louisiana Christian,unknown,Independent,-1.949496,1,1,0,4.748835
356,70,Walsh,ii,Great Midwest Athletic,-1.97885,3,0,0,-13.221361
357,71,Edward Waters,ii,SIAC,-2.014187,3,1,0,-7.404362
358,72,California (PA),ii,Pennsylvania State Athletic,-2.290483,2,1,0,-11.829313
359,20,Linfield,iii,Northwest,-2.339351,1,1,0,-13.072914
360,7,Eastern Oregon,unknown,Independent,-2.341464,1,0,0,-20.065091
361,8,Keiser (Fl),unknown,Independent,-2.467987,0,1,0,6.754091
362,73,Winona State,ii,Northern Sun,-2.554268,1,3,0,1.682956
363,74,Tusculum,ii,South Atlantic,-2.833078,2,2,0,-1.771621
364,124,Northwestern State,fcs,Southland,-2.850092,0,4,0,17.501674
365,75,Minot State,ii,Northern Sun,-3.433211,1,3,0,0.642254
366,21,Eastern,iii,Mid Atlantic,-3.474529,2,1,0,-12.592308
367,22,Middlebury,iii,NESCAC,-3.513727,0,1,0,21.537942
368,76,Central State,ii,SIAC,-3.543788,1,3,0,4.479892
369,23,SUNY Cortland,iii,Empire 8,-3.624845,3,0,0,-27.830604
370,24,Berry,iii,Southern Athletic,-3.766187,3,0,0,-19.050633
371,77,Nebraska Kearney,ii,Mid America,-3.864537,0,3,0,3.325877
372,78,Pittsburg State,ii,Mid America,-3.992943,0,4,0,14.89583
373,79,Bemidji State,ii,Northern Sun,-3.998367,1,3,0,0.164517
374,80,Delta State,ii,Gulf South,-4.326404,1,3,0,7.466392
375,81,South Dakota Mines,ii,Rocky Mountain,-4.61093,3,1,0,-11.693723
376,25,John Carroll,iii,Ohio,-4.942126,3,0,0,-29.893239
377,82,Roosevelt,ii,GLIAC,-5.137468,4,0,0,-14.783145
378,26,Calvin,iii,Michigan,-5.221961,3,0,0,-36.173074
379,83,Clarion,ii,Pennsylvania State Athletic,-5.416721,2,1,0,-15.587428
380,27,Baldwin Wallace,iii,Ohio,-5.527396,2,0,0,-29.460902
381,84,Black Hills State,ii,Rocky Mountain,-5.579633,3,1,0,-14.886721
382,28,Concordia (MN),iii,Minnesota,-5.942116,2,0,0,-36.918368
383,29,Wheaton (IL),iii,CCIW,-6.059568,3,0,0,-28.010681
384,85,Chadron State,ii,Rocky Mountain,-6.135172,1,3,0,12.328489
385,30,Wartburg,iii,American Rivers,-6.179706,1,2,0,-3.274865
386,86,Frostburg State,ii,Mountain East,-6.53208,1,2,0,-5.77323
387,87,Upper Iowa,ii,Great Lakes,-6.752639,1,2,0,-10.478689
388,88,Concordia St. Paul,ii,Northern Sun,-6.818252,2,2,0,-7.03481
389,89,Missouri Western,ii,Mid America,-6.928654,1,2,0,3.085468
390,31,Tufts,iii,NESCAC,-6.95201,1,0,0,-17.977051
391,9,Elgin,unknown,Independent,-7.046864,0,1,0,23.175215
392,90,Midwestern State,ii,Lone Star,-7.341986,2,1,0,-9.955224
393,125,Valparaiso,fcs,Pioneer,-7.405791,1,2,0,-4.05471
394,126,Davidson,fcs,Pioneer,-7.46937,2,2,0,-1.775418
395,91,Albany State,ii,SIAC,-7.471385,1,3,0,-4.430494
396,32,George Fox,iii,Northwest,-7.587588,2,0,0,-32.56384
397,92,West Chester,ii,Pennsylvania State Athletic,-7.703867,2,1,0,-12.557935
398,93,Allen,ii,SIAC,-7.757966,3,1,0,-18.860637
